TIME,AVG_SPEND_PER_YEAR
1970,803.09
1971,689.32
1972,789.09
1973,872.16
1974,1000.21
1975,1258.97
1976,1036.92
1977,1129
1978,1266.76
1979,1400.55
1980,2410.34
1981,1634.23
1982,1765.39
1983,1897.11
1984,2927.58
1985,3348.38
1986,3232.74
1987,3552.46
1988,4401.88
1989,4803.39
1990,5017.25
1991,4683.87
1992,5841.13
1993,6084.88
1994,6274.27
1995,6375.2
1996,6734.86
1997,7017.98
1998,7789.26
1999,7878.38
2000,13773.08
2001,15100.74
2002,15654.89
2003,17394.44
2004,16813.7
2005,17550.54
2006,18320.73
2007,19326.79
2008,21089.42
2009,21779.12
2010,22301.88
2011,22829.92
2012,23016.53
2013,23860.91
2014,25910.65
2015,25651.46
2016,18729.26
