TIME,TOTAL_SPEND_ABOVE_AVG
1970,6475.35
1971,6332.9
1972,6971.64
1973,7730.99
1974,9013.92
1975,11593.94
1976,10533.19
1977,11430.73
1978,12930.46
1979,14376.32
1980,35076.76
1981,21446.92
1982,23044.13
1983,24718.21
1984,44576.19
1985,56945.96
1986,50525.16
1987,55790.35
1988,76394.97
1989,81720.69
1990,75717.15
1991,77634.83
1992,81669.48
1993,86732.99
1994,91928.69
1995,91873.44
1996,96909.49
1997,100726.71
1998,113403.46
1999,100474.39
2000,118260.56
2001,125513.1
2002,92608.7
2003,111163.49
2004,119101.93
2005,188370.54
2006,201644.73
2007,212083.55
2008,214686.48
2009,213497.54
2010,247056.08
2011,254485.14
2012,245493.83
2013,284877.42
2014,287039.94
2015,207967.79
2016,64940.31
