LOCATION,USD_CAP
USA,946.894
USA,946.859
USA,917.815
USA,905.301
USA,866.302
CHE,824.671
USA,803.701
GRC,782.011
CAN,780.901
GRC,771.997
USA,762.271
CAN,731.121
USA,707.226
GRC,684.401
CAN,679.645
IRL,674.956
CAN,662.072
IRL,661.276
DEU,660.571
JPN,656.131
USA,643.351
IRL,643.036
DEU,640.783
CAN,638.701
FRA,633.393
LUX,630.377
JPN,629.162
FRA,626.498
BEL,623.97
LUX,617.448
LUX,611.498
FRA,607.178
BEL,605.096
GRC,604.089
DEU,603.742
IRL,596.486
CAN,592.738
ITA,588.861
LUX,588.312
ITA,588.13
FRA,587.233
BEL,584.31
ISL,582.697
ITA,581.535
USA,575.975
SVK,569.68
FRA,567.916
JPN,567.72
DEU,566.139
AUS,563.857
LUX,560.575
ITA,554.861
AUS,553.724
CAN,553.47
ITA,550.732
BEL,550.12
FRA,548.873
IRL,547.146
JPN,544.008
CHE,543.521
ISL,542.052
SVK,540.515
HUN,539.855
AUT,538.253
ISL,535.019
ESP,531.957
DEU,527.646
PRT,527.624
PRT,527.548
ESP,524.963
AUT,524.143
LUX,523.189
FRA,522.087
BEL,521.218
CAN,519.989
ISL,519.038
CHE,518.695
USA,518.109
KOR,517.801
PRT,517.697
AUT,517.265
PRT,515.673
GRC,514.01
ESP,512.994
DEU,512.48
BEL,512.107
ITA,511.842
LUX,510.874
JPN,510.598
AUS,510.172
ITA,506.591
AUT,504.849
PRT,503.565
BEL,502.408
FRA,499.545
SVK,497.76
ISL,496.023
ITA,494.302
FRA,492.632
HUN,492.437
ISL,491.556
CHE,491.141
ISL,491.067
ITA,488.266
JPN,487.681
AUS,485.887
ESP,485.437
BEL,483.535
ISL,479.64
IRL,478.511
SWE,478.419
CAN,478.226
LUX,478.191
ITA,476.761
SWE,474.925
AUT,474.834
PRT,473.861
FIN,472.342
SVN,472.268
FIN,471.269
KOR,470.691
SWE,470.326
DEU,469.542
ESP,469.511
HUN,468.726
GRC,465.174
FIN,465.105
SVN,465.075
FRA,464.882
DEU,462.927
AUS,461.821
CHE,458.412
HUN,457.09
NLD,455.318
JPN,452.975
NLD,450.574
NLD,450.402
SWE,448.828
LUX,448.58
DEU,447.719
SVK,446.793
PRT,446.21
CZE,446.076
AUT,445.188
SVN,443.436
ISL,443.416
KOR,442.9
NLD,441.76
CAN,441.311
CHE,440.715
ESP,439.206
IRL,437.694
AUT,435.327
HUN,434.32
ITA,433.143
FIN,432.867
AUS,432.513
CHE,430.299
AUS,429.882
JPN,429.378
HUN,427.151
SWE,426.3
KOR,426.283
SVN,425.293
ESP,424.38
FRA,423.358
GRC,418.525
DEU,418.329
AUT,417.087
SVN,415.215
CHE,414.972
PRT,413.377
ESP,412.778
FIN,412.21
LUX,409.75
SVN,406.336
NLD,404.948
ISL,403.914
FIN,403.756
SVK,403.152
CAN,402.054
KOR,401.881
AUS,401.302
ITA,396.645
CHE,395.506
NOR,395.456
NOR,395.454
ISL,394.133
FIN,393.582
PRT,392.927
JPN,392.312
CZE,392.131
SWE,391.6
SWE,391.434
NOR,390.574
FRA,385.896
NOR,385.796
AUT,385.304
NLD,384.808
NOR,384.641
CHE,383.731
SVN,383.638
IRL,383.182
NOR,382.607
DEU,381.455
JPN,380.919
SWE,378.634
NOR,377.594
ISL,376.679
SWE,376.14
LUX,375.816
CAN,375.645
ESP,375.405
ITA,373.922
AUS,373.044
GRC,371.489
CZE,370.216
PRT,370.107
HUN,367.309
LTU,366.563
SVK,364.882
AUS,364.771
DEU,363.37
SVN,362.285
CHE,361.001
CZE,360.063
SVN,358.67
FRA,358.556
FIN,358.157
LTU,356.225
AUT,356.061
CAN,352.804
JPN,352.442
ISL,352.048
LUX,350.872
NOR,350.856
KOR,349.272
CZE,348.982
SWE,348.639
IRL,347.346
ITA,347.054
HUN,346.433
CZE,346.049
DEU,345.877
PRT,345.833
AUT,344.082
DNK,344.01
NOR,343.788
ESP,341.886
FIN,341.56
CZE,341.185
LTU,340.758
CHE,339.043
AUS,338.665
SVK,336.67
FRA,336.182
POL,329.4
DNK,328.132
DNK,326.956
NLD,324.925
ISL,322.933
DNK,322.787
DEU,322.366
AUT,322.318
ESP,322.041
FRA,321.77
CZE,320.79
KOR,320.678
JPN,320.554
CAN,320.266
GRC,320.158
DEU,319.619
ITA,319.386
BEL,318.442
CHE,316.86
FRA,316.56
FRA,316.071
JPN,315.832
SWE,314.697
JPN,313.426
LTU,312.933
FIN,312.574
POL,311.849
LUX,311.45
SVK,310.549
JPN,309.352
JPN,309.164
ITA,306.334
FRA,306.279
CHE,305.359
JPN,305.192
ESP,304.884
BEL,304.259
BEL,303.867
NOR,303.553
IRL,301.335
DEU,301.102
NLD,299.575
HUN,299.439
LUX,299.201
ITA,298.92
KOR,298.593
LTU,298.436
DNK,298.291
JPN,297.259
PRT,297.23
DEU,296.636
ITA,295.781
ITA,294.948
SWE,294.6
ITA,293.246
CAN,292.026
AUS,291.589
NOR,290.719
PRT,289.154
AUT,288.769
MEX,288.566
CAN,287.512
POL,287.143
MEX,287.049
FIN,285.448
CHE,285.052
ESP,284.806
BEL,283.434
CZE,282.66
JPN,282.452
DEU,282.377
FRA,282.21
