TIME,Above_200,Below_Or_Equal_200
1970,0,11
1971,0,11
1972,0,11
1973,0,11
1974,0,11
1975,0,13
1976,0,13
1977,0,13
1978,0,13
1979,0,13
1980,0,18
1981,0,17
1982,0,17
1983,0,17
1984,0,18
1985,2,18
1986,2,17
1987,2,17
1988,4,16
1989,5,15
1990,8,16
1991,7,15
1992,9,14
1993,9,14
1994,9,15
1995,16,9
1996,19,6
1997,20,5
1998,18,3
1999,20,4
2000,22,4
2001,24,2
2002,26,2
2003,27,1
2004,29,2
2005,30,2
2006,33,0
2007,33,0
2008,31,0
2009,32,0
2010,32,0
2011,32,0
2012,32,0
2013,33,0
2014,32,0
2015,30,0
2016,4,0
