LOCATION,TOTAL_HEALTHSPEND
USA,4186292.78
JPN,1602492.93
DEU,1188168.49
FRA,802298.94
ITA,754377.19
MEX,451903.24
CAN,445157.79
ESP,436073.35
KOR,413876.98
GBR,243390.12
AUS,210562.01
POL,155643.45
NLD,147102.32
BEL,126330.37
GRC,113206.42
PRT,106881.27
CHE,103005.12
SWE,93430.58
AUT,82723.22
HUN,81580.59
CZE,78489.23
FIN,52228.15
IRL,46876.19
RUS,44655.62
NOR,44315.79
DNK,38568.93
SVK,38472.3
TUR,25138.33
ISR,16654.4
LTU,13859.94
SVN,12694.2
NZL,11907.15
LVA,6829.89
EST,5179.24
LUX,4858.94
ISL,3752.89
